,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.994,5
8,0.963,5
9,0.955,5
10,0.601,5
11,0.917,5
12,1.0,10
13,0.951,10
14,0.49,10
15,0.902,10
16,0.927,10
17,0.986,10
18,0.988,10
19,0.918,10
20,0.567,10
21,0.97,10
22,1.0,15
23,0.977,15
24,0.448,15
25,0.9,15
26,0.957,15
27,0.984,15
28,0.991,15
29,0.903,15
30,0.593,15
31,1.0,15
32,0.736,15
33,0.696,15
34,1.0,15
35,0.986,15
36,0.93,15
37,1.0,20
38,1.0,20
39,0.462,20
40,0.818,20
41,1.0,20
42,1.0,20
43,1.0,20
44,0.973,20
45,0.625,20
46,1.0,20
47,0.76,20
48,0.63,20
49,0.971,20
50,0.982,20
51,0.941,20
52,0.647,20
53,1.0,20
54,0.936,20
55,0.926,20
56,0.97,20
57,1.0,25
58,0.982,25
59,0.968,25
60,0.909,25
61,0.812,25
62,0.961,25
63,0.562,25
64,1.0,25
65,1.0,25
66,0.818,25
67,0.979,25
68,0.731,25
69,0.73,25
70,1.0,25
71,0.818,25
72,0.812,25
73,1.0,25
74,0.481,25
75,0.981,25
76,0.94,25
77,1.0,25
78,1.0,25
79,0.96,25
80,1.0,25
81,0.781,25
82,1.0,30
83,1.0,30
84,0.969,30
85,0.903,30
86,0.84,30
87,0.979,30
88,0.667,30
89,1.0,30
90,1.0,30
91,0.818,30
92,0.962,30
93,0.636,30
94,0.706,30
95,1.0,30
96,0.818,30
97,0.917,30
98,1.0,30
99,0.421,30
100,1.0,30
101,0.969,30
102,0.778,30
103,1.0,30
104,0.905,30
105,1.0,30
106,0.795,30
107,1.0,30
108,0.98,30
109,0.667,30
110,0.75,30
111,0.467,30
