,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.314,5
8,0.439,5
9,0.327,5
10,0.52,5
11,0.711,5
12,0.533,10
13,0.577,10
14,0.609,10
15,0.538,10
16,0.36,10
17,0.429,10
18,0.438,10
19,0.846,10
20,0.471,10
21,0.682,10
22,0.455,15
23,0.8,15
24,0.619,15
25,0.526,15
26,0.375,15
27,0.375,15
28,0.467,15
29,0.75,15
30,0.571,15
31,0.778,15
32,0.625,15
33,0.562,15
34,0.8,15
35,0.75,15
36,0.625,15
37,0.667,20
38,0.786,20
39,0.688,20
40,0.438,20
41,0.5,20
42,0.375,20
43,0.556,20
44,0.7,20
45,0.5,20
46,0.778,20
47,0.625,20
48,0.583,20
49,0.8,20
50,0.833,20
51,0.6,20
52,0.7,20
53,0.8,20
54,0.467,20
55,0.5,20
56,0.231,20
57,0.6,25
58,0.636,25
59,0.556,25
60,0.5,25
61,0.3,25
62,0.769,25
63,0.417,25
64,0.533,25
65,0.643,25
66,0.444,25
67,0.375,25
68,0.833,25
69,0.778,25
70,0.333,25
71,0.667,25
72,0.6,25
73,0.778,25
74,0.429,25
75,0.714,25
76,0.8,25
77,0.467,25
78,0.545,25
79,0.462,25
80,1.0,25
81,0.889,25
82,0.75,30
83,0.8,30
84,0.625,30
85,0.714,30
86,0.5,30
87,0.727,30
88,0.417,30
89,0.467,30
90,0.667,30
91,0.6,30
92,0.375,30
93,0.8,30
94,1.0,30
95,0.333,30
96,0.667,30
97,0.5,30
98,0.75,30
99,0.5,30
100,0.5,30
101,0.8,30
102,0.5,30
103,0.625,30
104,0.556,30
105,1.0,30
106,0.857,30
107,0.615,30
108,0.667,30
109,0.375,30
110,0.5,30
111,1.0,30
