,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.963,5
8,0.595,5
9,0.986,5
10,0.921,5
11,0.976,5
12,0.951,10
13,0.865,10
14,0.988,10
15,0.973,10
16,0.992,10
17,0.688,10
18,0.979,10
19,0.889,10
20,0.429,10
21,0.96,10
22,0.973,15
23,0.9,15
24,1.0,15
25,0.986,15
26,0.989,15
27,0.844,15
28,0.961,15
29,0.889,15
30,0.426,15
31,0.941,15
32,0.667,15
33,0.944,15
34,0.97,15
35,0.99,15
36,0.671,15
37,0.973,20
38,0.737,20
39,0.969,20
40,0.977,20
41,1.0,20
42,0.905,20
43,0.96,20
44,0.935,20
45,0.458,20
46,0.947,20
47,0.643,20
48,0.947,20
49,0.972,20
50,1.0,20
51,0.644,20
52,0.984,20
53,0.906,20
54,0.926,20
55,1.0,20
56,0.5,20
57,0.958,25
58,0.983,25
59,0.52,25
60,0.957,25
61,0.986,25
62,0.828,25
63,0.972,25
64,0.784,25
65,0.902,25
66,1.0,25
67,1.0,25
68,0.556,25
69,0.982,25
70,0.956,25
71,0.978,25
72,1.0,25
73,0.667,25
74,0.955,25
75,0.614,25
76,0.968,25
77,0.78,25
78,0.959,25
79,0.88,25
80,0.933,25
81,1.0,25
82,0.946,30
83,1.0,30
84,0.5,30
85,0.932,30
86,0.979,30
87,0.889,30
88,0.987,30
89,0.81,30
90,0.944,30
91,0.917,30
92,1.0,30
93,0.526,30
94,0.982,30
95,0.882,30
96,0.976,30
97,1.0,30
98,0.958,30
99,0.974,30
100,0.675,30
101,0.966,30
102,0.762,30
103,1.0,30
104,0.96,30
105,0.933,30
106,1.0,30
107,0.967,30
108,0.742,30
109,1.0,30
110,0.545,30
111,0.448,30
