,GS,cluster
0,0.4440000057220459,GT
1,0.5950000286102295,GT
2,0.4580000042915344,GT
3,,GT
4,0.546999990940094,GT
5,0.43299999833106995,GT
6,0.5099999904632568,GT
7,0.499,5
8,0.58,5
9,0.578,5
10,0.672,5
11,0.526,5
12,0.498,10
13,0.506,10
14,0.531,10
15,0.52,10
16,0.483,10
17,0.513,10
18,0.537,10
19,0.653,10
20,0.607,10
21,0.499,10
22,0.45,15
23,0.508,15
24,0.493,15
25,0.505,15
26,0.465,15
27,0.478,15
28,0.545,15
29,0.673,15
30,0.605,15
31,0.52,15
32,0.413,15
33,0.39,15
34,0.531,15
35,0.51,15
36,0.482,15
37,0.444,20
38,0.53,20
39,0.457,20
40,0.457,20
41,0.478,20
42,0.326,20
43,0.544,20
44,0.542,20
45,0.493,20
46,0.517,20
47,0.47,20
48,0.398,20
49,0.44,20
50,0.46,20
51,0.465,20
52,0.536,20
53,0.698,20
54,0.374,20
55,0.471,20
56,0.63,20
57,0.487,25
58,0.592,25
59,0.451,25
60,0.544,25
61,0.458,25
62,0.437,25
63,0.515,25
64,0.374,25
65,0.495,25
66,0.401,25
67,0.465,25
68,0.631,25
69,0.549,25
70,0.493,25
71,0.548,25
72,0.458,25
73,0.522,25
74,0.505,25
75,0.463,25
76,0.436,25
77,0.493,25
78,0.453,25
79,0.379,25
80,0.642,25
81,0.417,25
82,0.449,30
83,0.549,30
84,0.407,30
85,0.529,30
86,0.386,30
87,0.455,30
88,0.468,30
89,0.316,30
90,0.408,30
91,0.435,30
92,0.53,30
93,0.633,30
94,0.559,30
95,0.496,30
96,0.591,30
97,0.434,30
98,0.484,30
99,0.5,30
100,0.424,30
101,0.43,30
102,0.557,30
103,0.432,30
104,0.523,30
105,0.635,30
106,0.43,30
107,0.503,30
108,0.459,30
109,0.481,30
110,0.515,30
111,0.468,30
