,GS,cluster
0,0.6179999709129333,GT
1,0.5049999952316284,GT
2,0.492000013589859,GT
3,0.4869999885559082,GT
4,0.6299999952316284,GT
5,0.5879999995231628,GT
6,0.5680000185966492,GT
7,0.509,5
8,0.603,5
9,0.53,5
10,0.633,5
11,0.64,5
12,0.58,10
13,0.487,10
14,0.573,10
15,0.618,10
16,0.497,10
17,0.399,10
18,0.635,10
19,0.547,10
20,0.473,10
21,0.534,10
22,0.525,15
23,0.599,15
24,0.542,15
25,0.478,15
26,0.412,15
27,0.508,15
28,0.603,15
29,0.507,15
30,0.532,15
31,0.512,15
32,0.395,15
33,0.508,15
34,0.371,15
35,0.556,15
36,0.597,15
37,,20
38,0.606,20
39,,20
40,0.465,20
41,0.406,20
42,0.501,20
43,0.435,20
44,0.415,20
45,,20
46,0.493,20
47,0.41,20
48,0.723,20
49,0.412,20
50,0.447,20
51,,20
52,0.325,20
53,0.602,20
54,,20
55,0.528,20
56,,20
57,,25
58,0.563,25
59,0.445,25
60,,25
61,0.572,25
62,0.251,25
63,0.366,25
64,,25
65,0.471,25
66,0.477,25
67,0.542,25
68,,25
69,,25
70,0.529,25
71,0.347,25
72,0.534,25
73,0.552,25
74,,25
75,,25
76,0.525,25
77,,25
78,,25
79,0.439,25
80,0.46,25
81,,25
82,,30
83,0.575,30
84,0.461,30
85,,30
86,0.567,30
87,0.251,30
88,0.334,30
89,,30
90,0.503,30
91,0.404,30
92,0.595,30
93,,30
94,,30
95,0.516,30
96,0.318,30
97,,30
98,0.552,30
99,,30
100,,30
101,,30
102,,30
103,,30
104,0.436,30
105,0.46,30
106,,30
107,,30
108,,30
109,0.382,30
110,,30
111,,30
