,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.984,5
8,0.974,5
9,0.574,5
10,0.988,5
11,0.971,5
12,0.964,10
13,0.705,10
14,0.986,10
15,0.994,10
16,0.971,10
17,0.385,10
18,0.995,10
19,0.868,10
20,0.433,10
21,0.978,10
22,0.988,15
23,0.622,15
24,0.989,15
25,0.992,15
26,0.967,15
27,0.771,15
28,1.0,15
29,0.957,15
30,0.468,15
31,0.774,15
32,1.0,15
33,0.979,15
34,0.931,15
35,0.458,15
36,1.0,15
37,1.0,20
38,0.769,20
39,1.0,20
40,0.99,20
41,0.967,20
42,0.697,20
43,1.0,20
44,0.907,20
45,0.462,20
46,0.742,20
47,1.0,20
48,0.967,20
49,1.0,20
50,0.481,20
51,1.0,20
52,0.957,20
53,1.0,20
54,0.464,20
55,0.963,20
56,1.0,20
57,0.972,25
58,0.519,25
59,1.0,25
60,1.0,25
61,0.754,25
62,0.95,25
63,0.929,25
64,1.0,25
65,1.0,25
66,1.0,25
67,1.0,25
68,0.579,25
69,1.0,25
70,0.765,25
71,1.0,25
72,0.4,25
73,0.973,25
74,0.978,25
75,0.983,25
76,0.45,25
77,1.0,25
78,0.938,25
79,0.576,25
80,0.737,25
81,0.862,25
82,0.971,30
83,0.513,30
84,1.0,30
85,0.932,30
86,0.778,30
87,0.95,30
88,0.931,30
89,0.977,30
90,1.0,30
91,1.0,30
92,1.0,30
93,0.625,30
94,1.0,30
95,0.765,30
96,0.981,30
97,0.333,30
98,0.969,30
99,0.976,30
100,0.982,30
101,0.543,30
102,1.0,30
103,1.0,30
104,0.625,30
105,0.694,30
106,1.0,30
107,1.0,30
108,1.0,30
109,1.0,30
110,0.8,30
111,0.4,30
