,GS,cluster
0,0.4749999940395355,GT
1,0.5630000233650208,GT
2,0.45500001311302185,GT
3,,GT
4,0.5759999752044678,GT
5,0.47099998593330383,GT
6,0.4779999852180481,GT
7,0.499,5
8,0.508,5
9,0.564,5
10,0.478,5
11,0.573,5
12,0.464,10
13,0.521,10
14,0.487,10
15,0.488,10
16,0.57,10
17,0.443,10
18,0.457,10
19,0.475,10
20,0.482,10
21,0.548,10
22,0.408,15
23,0.52,15
24,0.42,15
25,0.438,15
26,0.563,15
27,0.423,15
28,0.498,15
29,0.434,15
30,0.488,15
31,0.48,15
32,0.427,15
33,0.413,15
34,0.515,15
35,0.548,15
36,0.421,15
37,0.438,20
38,0.416,20
39,0.381,20
40,0.479,20
41,0.564,20
42,0.529,20
43,0.462,20
44,0.456,20
45,0.491,20
46,0.539,20
47,0.384,20
48,0.411,20
49,0.421,20
50,0.608,20
51,0.473,20
52,0.5,20
53,0.408,20
54,0.549,20
55,0.61,20
56,0.367,20
57,0.482,25
58,0.408,25
59,0.362,25
60,0.358,25
61,0.415,25
62,0.563,25
63,0.423,25
64,0.406,25
65,0.436,25
66,0.377,25
67,0.44,25
68,0.536,25
69,0.501,25
70,0.48,25
71,0.365,25
72,,25
73,0.416,25
74,0.449,25
75,0.449,25
76,0.312,25
77,0.44,25
78,0.695,25
79,0.39,25
80,0.355,25
81,0.367,25
82,0.47,30
83,0.47,30
84,0.436,30
85,0.398,30
86,0.427,30
87,0.562,30
88,0.421,30
89,0.427,30
90,0.463,30
91,0.424,30
92,0.458,30
93,,30
94,0.494,30
95,0.477,30
96,0.356,30
97,,30
98,0.423,30
99,0.458,30
100,0.489,30
101,0.334,30
102,0.391,30
103,0.346,30
104,0.34,30
105,0.351,30
106,0.515,30
107,0.46,30
108,0.422,30
109,0.393,30
110,,30
111,0.462,30
