,GS,cluster
0,0.6909999847412109,GT
1,0.6209999918937683,GT
2,0.5139999985694885,GT
3,0.5490000247955322,GT
4,0.5580000281333923,GT
5,0.593999981880188,GT
6,0.5899999737739563,GT
7,0.643,5
8,0.608,5
9,0.559,5
10,0.636,5
11,0.549,5
12,0.564,10
13,0.56,10
14,0.501,10
15,0.582,10
16,0.636,10
17,0.467,10
18,0.438,10
19,0.603,10
20,0.423,10
21,0.524,10
22,0.583,15
23,0.612,15
24,0.474,15
25,0.623,15
26,,15
27,0.544,15
28,0.442,15
29,0.561,15
30,,15
31,,15
32,0.49,15
33,0.424,15
34,0.539,15
35,0.59,15
36,0.548,15
37,0.536,20
38,0.649,20
39,0.602,20
40,0.625,20
41,0.677,20
42,0.373,20
43,,20
44,0.605,20
45,,20
46,,20
47,0.511,20
48,,20
49,,20
50,0.589,20
51,,20
52,0.549,20
53,0.597,20
54,0.498,20
55,,20
56,0.592,20
57,0.457,25
58,0.588,25
59,0.57,25
60,,25
61,0.475,25
62,0.56,25
63,0.548,25
64,0.481,25
65,0.49,25
66,,25
67,0.292,25
68,,25
69,,25
70,0.6,25
71,0.607,25
72,,25
73,,25
74,,25
75,,25
76,,25
77,,25
78,,25
79,,25
80,,25
81,,25
82,0.447,30
83,0.588,30
84,0.527,30
85,,30
86,,30
87,0.554,30
88,0.556,30
89,0.481,30
90,0.496,30
91,,30
92,,30
93,,30
94,,30
95,0.406,30
96,0.58,30
97,,30
98,,30
99,,30
100,,30
101,,30
102,,30
103,,30
104,,30
105,,30
106,,30
107,0.53,30
108,,30
109,,30
110,,30
111,,30
