,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.745,5
8,0.909,5
9,0.99,5
10,0.921,5
11,1.0,5
12,0.528,10
13,0.902,10
14,0.763,10
15,0.935,10
16,1.0,10
17,0.968,10
18,0.9,10
19,0.991,10
20,0.949,10
21,1.0,10
22,0.626,15
23,0.935,15
24,0.556,15
25,0.912,15
26,1.0,15
27,0.895,15
28,0.956,15
29,0.852,15
30,0.987,15
31,0.988,15
32,1.0,15
33,0.944,15
34,1.0,15
35,0.985,15
36,1.0,15
37,0.722,20
38,0.423,20
39,0.768,20
40,0.958,20
41,0.904,20
42,1.0,20
43,0.889,20
44,0.935,20
45,1.0,20
46,0.81,20
47,0.985,20
48,0.985,20
49,1.0,20
50,1.0,20
51,1.0,20
52,1.0,20
53,0.881,20
54,1.0,20
55,0.983,20
56,1.0,20
57,0.72,25
58,0.452,25
59,0.72,25
60,0.375,25
61,0.837,25
62,0.795,25
63,1.0,25
64,0.941,25
65,0.917,25
66,0.956,25
67,1.0,25
68,0.8,25
69,0.98,25
70,0.977,25
71,1.0,25
72,1.0,25
73,1.0,25
74,1.0,25
75,1.0,25
76,1.0,25
77,0.881,25
78,1.0,25
79,1.0,25
80,0.974,25
81,1.0,25
82,0.72,30
83,0.478,30
84,0.72,30
85,0.364,30
86,0.542,30
87,0.886,30
88,0.917,30
89,1.0,30
90,0.935,30
91,0.914,30
92,0.983,30
93,0.8,30
94,0.789,30
95,0.98,30
96,0.977,30
97,1.0,30
98,1.0,30
99,1.0,30
100,1.0,30
101,1.0,30
102,1.0,30
103,1.0,30
104,0.878,30
105,1.0,30
106,1.0,30
107,1.0,30
108,0.974,30
109,1.0,30
110,1.0,30
111,1.0,30
