,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.412,5
8,0.362,5
9,0.356,5
10,0.667,5
11,0.621,5
12,0.367,10
13,0.308,10
14,0.447,10
15,0.553,10
16,0.667,10
17,0.607,10
18,0.667,10
19,0.429,10
20,0.632,10
21,0.75,10
22,0.375,15
23,0.385,15
24,0.368,15
25,0.632,15
26,0.568,15
27,0.667,15
28,0.607,15
29,0.636,15
30,0.619,15
31,0.667,15
32,0.667,15
33,0.75,15
34,0.75,15
35,0.667,15
36,1.0,15
37,0.533,20
38,0.483,20
39,0.462,20
40,0.4,20
41,0.5,20
42,0.618,20
43,0.714,20
44,0.5,20
45,0.55,20
46,0.6,20
47,0.714,20
48,0.6,20
49,0.667,20
50,0.667,20
51,0.875,20
52,0.55,20
53,0.75,20
54,0.75,20
55,1.0,20
56,1.0,20
57,0.375,25
58,0.464,25
59,0.429,25
60,0.333,25
61,0.4,25
62,0.606,25
63,0.714,25
64,0.5,25
65,0.556,25
66,0.6,25
67,0.636,25
68,0.533,25
69,0.6,25
70,0.556,25
71,0.875,25
72,0.571,25
73,0.667,25
74,0.75,25
75,0.375,25
76,0.5,25
77,0.5,25
78,1.0,25
79,1.0,25
80,1.0,25
81,1.0,25
82,0.385,30
83,0.458,30
84,0.429,30
85,0.286,30
86,0.5,30
87,0.25,30
88,0.556,30
89,0.63,30
90,0.25,30
91,0.714,30
92,0.5,30
93,0.5,30
94,0.556,30
95,0.6,30
96,0.556,30
97,0.533,30
98,0.6,30
99,0.556,30
100,0.875,30
101,0.571,30
102,0.667,30
103,0.75,30
104,0.429,30
105,0.5,30
106,0.5,30
107,1.0,30
108,1.0,30
109,1.0,30
110,1.0,30
111,1.0,30
