,GS,cluster
0,0.4449999928474426,GT
1,0.6060000061988831,GT
2,0.515999972820282,GT
3,,GT
4,0.7149999737739563,GT
5,0.39399999380111694,GT
6,0.8970000147819519,GT
7,0.58,5
8,0.673,5
9,0.56,5
10,0.517,5
11,0.5,5
12,0.51,10
13,0.513,10
14,0.446,10
15,0.565,10
16,0.658,10
17,0.579,10
18,0.454,10
19,0.562,10
20,0.742,10
21,0.494,10
22,0.449,15
23,0.455,15
24,0.567,15
25,0.616,15
26,0.63,15
27,0.447,15
28,0.537,15
29,0.433,15
30,0.505,15
31,0.437,15
32,0.492,15
33,0.735,15
34,0.516,15
35,0.526,15
36,0.42,15
37,0.457,20
38,0.526,20
39,0.53,20
40,0.427,20
41,0.616,20
42,0.629,20
43,0.426,20
44,0.503,20
45,0.531,20
46,0.494,20
47,0.401,20
48,0.461,20
49,0.478,20
50,0.519,20
51,0.631,20
52,0.426,20
53,0.801,20
54,0.42,20
55,0.436,20
56,0.473,20
57,0.44,25
58,0.597,25
59,0.492,25
60,0.492,25
61,0.534,25
62,0.614,25
63,0.565,25
64,0.433,25
65,0.497,25
66,0.448,25
67,0.504,25
68,0.473,25
69,0.423,25
70,0.492,25
71,0.484,25
72,0.495,25
73,0.455,25
74,0.42,25
75,0.418,25
76,0.666,25
77,0.797,25
78,0.464,25
79,0.48,25
80,0.472,25
81,0.471,25
82,0.433,30
83,0.544,30
84,0.471,30
85,0.501,30
86,0.427,30
87,0.503,30
88,0.549,30
89,,30
90,0.434,30
91,0.497,30
92,0.413,30
93,0.619,30
94,0.465,30
95,0.423,30
96,0.49,30
97,0.484,30
98,0.494,30
99,0.44,30
100,0.432,30
101,0.378,30
102,0.425,30
103,0.599,30
104,0.78,30
105,0.467,30
106,0.401,30
107,,30
108,0.458,30
109,0.469,30
110,0.471,30
111,0.356,30
