,GS,cluster
0,0.5889999866485596,GT
1,0.5329999923706055,GT
2,0.5379999876022339,GT
3,0.5260000228881836,GT
4,0.5839999914169312,GT
5,0.5649999976158142,GT
6,0.6209999918937683,GT
7,0.551,5
8,0.663,5
9,0.64,5
10,,5
11,0.717,5
12,0.629,10
13,0.492,10
14,0.635,10
15,0.653,10
16,,10
17,0.67,10
18,0.643,10
19,,10
20,0.592,10
21,,10
22,0.595,15
23,0.656,15
24,0.549,15
25,0.676,15
26,0.642,15
27,,15
28,0.593,15
29,0.465,15
30,0.473,15
31,,15
32,,15
33,,15
34,,15
35,,15
36,,15
37,0.64,20
38,0.566,20
39,0.52,20
40,0.571,20
41,0.785,20
42,0.422,20
43,,20
44,,20
45,0.57,20
46,0.365,20
47,0.58,20
48,0.612,20
49,,20
50,,20
51,,20
52,0.563,20
53,,20
54,,20
55,,20
56,,20
57,0.621,25
58,0.57,25
59,,25
60,0.575,25
61,0.572,25
62,0.588,25
63,,25
64,,25
65,0.545,25
66,0.294,25
67,0.65,25
68,0.619,25
69,,25
70,0.333,25
71,,25
72,0.556,25
73,,25
74,,25
75,,25
76,,25
77,0.684,25
78,,25
79,,25
80,,25
81,,25
82,0.623,30
83,0.574,30
84,,30
85,,30
86,,30
87,,30
88,0.598,30
89,0.598,30
90,,30
91,,30
92,,30
93,,30
94,0.145,30
95,0.294,30
96,0.659,30
97,0.619,30
98,,30
99,0.333,30
100,,30
101,0.532,30
102,,30
103,,30
104,,30
105,,30
106,0.788,30
107,,30
108,,30
109,,30
110,,30
111,,30
