,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.896,5
8,0.809,5
9,0.97,5
10,0.993,5
11,0.983,5
12,0.725,10
13,0.66,10
14,0.87,10
15,0.922,10
16,0.979,10
17,0.821,10
18,0.877,10
19,0.977,10
20,0.991,10
21,0.992,10
22,0.579,15
23,0.727,15
24,0.816,15
25,0.897,15
26,0.961,15
27,0.927,15
28,0.875,15
29,0.972,15
30,0.927,15
31,0.967,15
32,0.993,15
33,0.985,15
34,1.0,15
35,0.99,15
36,0.98,15
37,0.72,20
38,0.679,20
39,0.811,20
40,0.471,20
41,0.892,20
42,0.978,20
43,0.947,20
44,0.872,20
45,0.966,20
46,0.929,20
47,0.857,20
48,0.967,20
49,0.966,20
50,0.993,20
51,0.939,20
52,1.0,20
53,0.991,20
54,0.987,20
55,0.978,20
56,1.0,20
57,0.74,25
58,0.773,25
59,0.633,25
60,0.794,25
61,0.5,25
62,0.523,25
63,0.892,25
64,0.935,25
65,0.978,25
66,0.939,25
67,0.881,25
68,0.966,25
69,0.926,25
70,0.842,25
71,0.982,25
72,0.976,25
73,0.991,25
74,0.939,25
75,0.966,25
76,1.0,25
77,1.0,25
78,1.0,25
79,0.982,25
80,0.977,25
81,1.0,25
82,0.723,30
83,0.773,30
84,0.64,30
85,0.759,30
86,0.5,30
87,0.5,30
88,0.892,30
89,0.886,30
90,0.576,30
91,0.925,30
92,0.957,30
93,0.9,30
94,0.923,30
95,0.952,30
96,0.842,30
97,0.98,30
98,0.966,30
99,1.0,30
100,0.939,30
101,0.972,30
102,1.0,30
103,1.0,30
104,1.0,30
105,1.0,30
106,1.0,30
107,0.977,30
108,0.977,30
109,1.0,30
110,1.0,30
111,1.0,30
