,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.526,5
8,0.261,5
9,0.615,5
10,0.433,5
11,0.581,5
12,0.714,10
13,0.387,10
14,0.429,10
15,0.378,10
16,0.556,10
17,0.421,10
18,0.5,10
19,0.556,10
20,0.545,10
21,0.588,10
22,0.7,15
23,0.414,15
24,0.286,15
25,0.367,15
26,0.625,15
27,0.4,15
28,0.667,15
29,0.5,15
30,0.364,15
31,0.545,15
32,0.8,15
33,0.583,15
34,0.5,15
35,0.571,15
36,1.0,15
37,0.444,20
38,0.364,20
39,0.294,20
40,0.412,20
41,0.35,20
42,0.636,20
43,0.385,20
44,0.704,20
45,0.52,20
46,0.444,20
47,0.455,20
48,0.5,20
49,0.5,20
50,0.75,20
51,0.8,20
52,0.545,20
53,0.5,20
54,0.667,20
55,1.0,20
56,1.0,20
57,0.429,25
58,0.25,25
59,0.312,25
60,0.412,25
61,0.4,25
62,0.571,25
63,0.417,25
64,0.333,25
65,0.667,25
66,0.444,25
67,0.818,25
68,0.5,25
69,0.4,25
70,0.5,25
71,0.5,25
72,0.833,25
73,0.75,25
74,0.571,25
75,0.4,25
76,0.75,25
77,0.556,25
78,1.0,25
79,1.0,25
80,1.0,25
81,1.0,25
82,0.545,30
83,0.375,30
84,0.312,30
85,0.385,30
86,0.5,30
87,0.6,30
88,0.444,30
89,0.625,30
90,0.25,30
91,0.571,30
92,0.357,30
93,0.714,30
94,0.8,30
95,0.5,30
96,0.4,30
97,0.571,30
98,0.667,30
99,0.8,30
100,0.75,30
101,0.571,30
102,0.4,30
103,0.75,30
104,0.625,30
105,0.75,30
106,1.0,30
107,0.6,30
108,1.0,30
109,1.0,30
110,1.0,30
111,1.0,30
