,GS,cluster
0,0.4440000057220459,GT
1,0.5950000286102295,GT
2,0.4580000042915344,GT
3,,GT
4,0.546999990940094,GT
5,0.43299999833106995,GT
6,0.5099999904632568,GT
7,0.522,5
8,0.568,5
9,0.522,5
10,0.516,5
11,0.544,5
12,0.498,10
13,0.647,10
14,0.547,10
15,0.674,10
16,0.496,10
17,0.494,10
18,0.517,10
19,0.515,10
20,0.562,10
21,0.474,10
22,0.536,15
23,0.661,15
24,0.482,15
25,0.634,15
26,0.476,15
27,0.45,15
28,0.504,15
29,0.491,15
30,0.454,15
31,0.466,15
32,0.46,15
33,0.532,15
34,0.518,15
35,0.54,15
36,0.557,15
37,0.416,20
38,0.663,20
39,0.422,20
40,0.567,20
41,0.543,20
42,0.474,20
43,0.485,20
44,0.503,20
45,0.475,20
46,0.528,20
47,0.497,20
48,0.474,20
49,0.469,20
50,0.422,20
51,0.636,20
52,0.56,20
53,0.502,20
54,0.494,20
55,0.484,20
56,0.393,20
57,0.438,25
58,0.649,25
59,0.451,25
60,0.429,25
61,0.492,25
62,0.583,25
63,0.543,25
64,0.526,25
65,0.46,25
66,0.508,25
67,0.507,25
68,0.466,25
69,0.519,25
70,0.508,25
71,0.461,25
72,0.474,25
73,0.424,25
74,0.636,25
75,0.465,25
76,0.551,25
77,0.371,25
78,0.42,25
79,0.461,25
80,0.488,25
81,0.417,25
82,0.438,30
83,0.645,30
84,0.445,30
85,0.482,30
86,0.477,30
87,0.644,30
88,0.543,30
89,0.509,30
90,0.357,30
91,0.494,30
92,0.457,30
93,0.519,30
94,0.528,30
95,0.388,30
96,0.502,30
97,0.377,30
98,0.463,30
99,0.417,30
100,0.636,30
101,0.464,30
102,0.43,30
103,0.654,30
104,0.43,30
105,0.448,30
106,0.424,30
107,0.466,30
108,0.488,30
109,0.449,30
110,0.446,30
111,0.398,30
