,GS,cluster
0,0.6179999709129333,GT
1,0.5049999952316284,GT
2,0.492000013589859,GT
3,0.4869999885559082,GT
4,0.6299999952316284,GT
5,0.5879999995231628,GT
6,0.5680000185966492,GT
7,0.628,5
8,0.571,5
9,0.45,5
10,0.467,5
11,0.592,5
12,0.604,10
13,0.504,10
14,0.645,10
15,0.481,10
16,0.509,10
17,0.539,10
18,0.476,10
19,0.577,10
20,0.434,10
21,0.497,10
22,0.651,15
23,0.48,15
24,0.594,15
25,0.49,15
26,,15
27,0.54,15
28,0.444,15
29,0.438,15
30,0.452,15
31,0.44,15
32,,15
33,0.567,15
34,0.565,15
35,,15
36,,15
37,0.474,20
38,0.343,20
39,0.57,20
40,0.498,20
41,0.544,20
42,0.418,20
43,0.528,20
44,0.607,20
45,0.356,20
46,0.461,20
47,0.424,20
48,0.423,20
49,,20
50,,20
51,,20
52,0.56,20
53,,20
54,,20
55,,20
56,,20
57,,25
58,0.499,25
59,0.574,25
60,0.53,25
61,0.536,25
62,,25
63,0.498,25
64,,25
65,0.395,25
66,0.325,25
67,0.327,25
68,,25
69,0.388,25
70,0.422,25
71,,25
72,,25
73,,25
74,,25
75,0.421,25
76,,25
77,0.416,25
78,,25
79,,25
80,,25
81,,25
82,0.589,30
83,,30
84,0.547,30
85,0.511,30
86,0.391,30
87,,30
88,0.495,30
89,,30
90,,30
91,0.485,30
92,0.373,30
93,,30
94,0.323,30
95,,30
96,0.389,30
97,,30
98,0.519,30
99,,30
100,,30
101,,30
102,0.421,30
103,,30
104,,30
105,,30
106,,30
107,,30
108,,30
109,,30
110,,30
111,,30
