,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.77,5
8,0.826,5
9,0.969,5
10,0.972,5
11,0.994,5
12,0.672,10
13,0.7,10
14,0.908,10
15,0.667,10
16,0.803,10
17,0.982,10
18,0.973,10
19,0.972,10
20,0.97,10
21,1.0,10
22,0.445,15
23,0.812,15
24,0.946,15
25,0.873,15
26,0.783,15
27,0.791,15
28,0.974,15
29,0.996,15
30,0.968,15
31,0.95,15
32,0.96,15
33,0.951,15
34,1.0,15
35,0.977,15
36,1.0,15
37,0.533,20
38,0.9,20
39,0.438,20
40,0.943,20
41,0.818,20
42,0.816,20
43,0.917,20
44,0.996,20
45,1.0,20
46,0.968,20
47,0.938,20
48,0.947,20
49,0.978,20
50,0.964,20
51,1.0,20
52,0.971,20
53,1.0,20
54,0.975,20
55,1.0,20
56,1.0,20
57,0.565,25
58,0.639,25
59,0.467,25
60,0.353,25
61,0.882,25
62,0.818,25
63,0.781,25
64,0.912,25
65,0.994,25
66,1.0,25
67,0.961,25
68,0.963,25
69,0.962,25
70,0.938,25
71,0.947,25
72,0.973,25
73,1.0,25
74,1.0,25
75,0.971,25
76,1.0,25
77,1.0,25
78,1.0,25
79,1.0,25
80,1.0,25
81,1.0,25
82,0.567,30
83,0.733,30
84,0.455,30
85,0.353,30
86,0.455,30
87,0.81,30
88,0.75,30
89,0.833,30
90,0.893,30
91,0.906,30
92,0.993,30
93,1.0,30
94,0.962,30
95,0.955,30
96,1.0,30
97,1.0,30
98,0.938,30
99,0.947,30
100,0.971,30
101,1.0,30
102,1.0,30
103,0.931,30
104,0.971,30
105,1.0,30
106,1.0,30
107,1.0,30
108,1.0,30
109,1.0,30
110,1.0,30
111,1.0,30
