,CP,cluster
0,1.0,GT
1,1.0,GT
2,1.0,GT
3,1.0,GT
4,1.0,GT
5,1.0,GT
6,1.0,GT
7,0.378,5
8,0.299,5
9,0.545,5
10,0.524,5
11,0.489,5
12,0.379,10
13,0.343,10
14,0.421,10
15,0.375,10
16,0.333,10
17,0.5,10
18,0.531,10
19,0.615,10
20,0.591,10
21,0.667,10
22,0.393,15
23,0.343,15
24,0.485,15
25,0.375,15
26,0.429,15
27,0.556,15
28,0.552,15
29,0.615,15
30,0.667,15
31,0.556,15
32,0.7,15
33,0.6,15
34,0.375,15
35,0.417,15
36,0.667,15
37,0.6,20
38,0.5,20
39,0.448,20
40,0.556,20
41,0.615,20
42,0.429,20
43,0.5,20
44,0.556,20
45,0.552,20
46,0.615,20
47,0.667,20
48,0.625,20
49,0.6,20
50,0.5,20
51,0.667,20
52,0.75,20
53,0.375,20
54,0.25,20
55,0.667,20
56,0.455,20
57,0.556,25
58,0.526,25
59,0.464,25
60,0.4,25
61,0.571,25
62,0.615,25
63,0.381,25
64,0.5,25
65,0.556,25
66,0.5,25
67,0.615,25
68,0.6,25
69,0.25,25
70,0.778,25
71,0.667,25
72,0.5,25
73,0.75,25
74,0.375,25
75,0.25,25
76,0.8,25
77,0.75,25
78,0.8,25
79,0.667,25
80,1.0,25
81,0.5,25
82,0.556,30
83,0.6,30
84,0.481,30
85,0.4,30
86,0.333,30
87,0.667,30
88,0.714,30
89,0.474,30
90,0.4,30
91,0.5,30
92,0.5,30
93,0.533,30
94,0.6,30
95,0.4,30
96,0.25,30
97,0.778,30
98,0.667,30
99,0.5,30
100,0.667,30
101,0.667,30
102,0.429,30
103,0.8,30
104,0.8,30
105,0.75,30
106,0.8,30
107,0.667,30
108,1.0,30
109,1.0,30
110,0.5,30
111,0.75,30
