,GS,cluster
0,0.4749999940395355,GT
1,0.5630000233650208,GT
2,0.45500001311302185,GT
3,,GT
4,0.5759999752044678,GT
5,0.47099998593330383,GT
6,0.4779999852180481,GT
7,0.491,5
8,0.611,5
9,0.572,5
10,0.505,5
11,0.505,5
12,0.497,10
13,0.611,10
14,0.59,10
15,0.413,10
16,0.423,10
17,0.444,10
18,0.519,10
19,0.474,10
20,0.565,10
21,0.451,10
22,0.529,15
23,0.603,15
24,0.481,15
25,0.405,15
26,0.362,15
27,0.408,15
28,0.444,15
29,0.413,15
30,0.481,15
31,0.702,15
32,0.535,15
33,0.384,15
34,0.398,15
35,0.379,15
36,0.351,15
37,0.522,20
38,0.626,20
39,0.462,20
40,0.489,20
41,0.358,20
42,0.414,20
43,0.393,20
44,0.422,20
45,0.475,20
46,0.481,20
47,0.71,20
48,0.586,20
49,0.35,20
50,0.407,20
51,0.482,20
52,0.438,20
53,0.401,20
54,0.346,20
55,0.381,20
56,0.355,20
57,0.371,25
58,0.562,25
59,0.424,25
60,0.547,25
61,0.557,25
62,0.334,25
63,0.404,25
64,0.398,25
65,0.386,25
66,,25
67,0.482,25
68,0.454,25
69,0.514,25
70,0.707,25
71,0.586,25
72,0.359,25
73,0.429,25
74,0.499,25
75,0.438,25
76,0.407,25
77,0.424,25
78,0.392,25
79,0.351,25
80,0.362,25
81,0.348,25
82,0.37,30
83,0.494,30
84,0.425,30
85,0.547,30
86,0.53,30
87,0.328,30
88,0.39,30
89,0.445,30
90,0.402,30
91,0.395,30
92,0.406,30
93,,30
94,0.439,30
95,0.474,30
96,0.437,30
97,0.428,30
98,0.707,30
99,0.586,30
100,0.366,30
101,0.43,30
102,0.498,30
103,0.497,30
104,0.438,30
105,0.413,30
106,0.405,30
107,0.323,30
108,0.429,30
109,0.352,30
110,0.379,30
111,0.406,30
