,GS,cluster
0,0.6909999847412109,GT
1,0.6209999918937683,GT
2,0.5139999985694885,GT
3,0.5490000247955322,GT
4,0.5580000281333923,GT
5,0.593999981880188,GT
6,0.5899999737739563,GT
7,0.461,5
8,0.612,5
9,0.623,5
10,0.682,5
11,0.621,5
12,0.448,10
13,0.589,10
14,0.634,10
15,,10
16,0.55,10
17,0.552,10
18,0.548,10
19,0.666,10
20,0.579,10
21,0.633,10
22,0.405,15
23,0.582,15
24,0.629,15
25,,15
26,0.539,15
27,0.61,15
28,0.537,15
29,0.646,15
30,,15
31,0.508,15
32,0.606,15
33,,15
34,,15
35,0.469,15
36,0.287,15
37,0.406,20
38,0.528,20
39,0.563,20
40,0.425,20
41,0.471,20
42,0.543,20
43,,20
44,0.61,20
45,0.537,20
46,0.646,20
47,,20
48,,20
49,,20
50,0.644,20
51,,20
52,,20
53,,20
54,,20
55,0.287,20
56,0.437,20
57,0.399,25
58,0.513,25
59,0.569,25
60,0.359,25
61,,25
62,0.471,25
63,0.572,25
64,,25
65,0.614,25
66,0.54,25
67,0.646,25
68,,25
69,,25
70,0.215,25
71,,25
72,0.541,25
73,,25
74,,25
75,,25
76,,25
77,,25
78,,25
79,,25
80,,25
81,,25
82,0.399,30
83,0.487,30
84,0.582,30
85,0.244,30
86,0.536,30
87,,30
88,,30
89,0.523,30
90,0.576,30
91,,30
92,,30
93,0.603,30
94,,30
95,,30
96,,30
97,0.215,30
98,,30
99,0.541,30
100,,30
101,,30
102,,30
103,,30
104,,30
105,,30
106,,30
107,,30
108,,30
109,,30
110,,30
111,,30
